#Energy           TDOS-UP         TDOS-DOWN
-2.129708        1.717000        1.717000
-2.098708        2.120000        2.120000
-2.067708        1.525000        1.525000
-2.036708        1.510000        1.510000
-2.005708        1.450000        1.450000
-1.974708        1.389000        1.389000
-1.943708        1.357000        1.357000
-1.912708        1.312000        1.312000
-1.881708        1.261000        1.261000
-1.850708        1.229000        1.229000
-1.819708        1.189000        1.189000
-1.788708        1.154000        1.154000
-1.757708        1.121000        1.121000
-1.726708        1.081000        1.081000
-1.695708        1.056000        1.056000
-1.664708        1.021000        1.021000
-1.633708        0.996000        0.996000
-1.602708        0.964400        0.964400
-1.571708        0.939000        0.939000
-1.540708        0.911300        0.911300
-1.509708        0.887400        0.887400
-1.478708        0.858600        0.858600
-1.447708        0.835400        0.835400
-1.416708        0.808800        0.808800
-1.385708        0.787800        0.787800
-1.354708        0.760700        0.760700
-1.323708        0.743300        0.743300
-1.292708        0.715700        0.715700
-1.261708        0.699300        0.699300
-1.231708        0.674100        0.674100
-1.200708        0.655700        0.655700
-1.169708        0.636300        0.636300
-1.138708        0.613600        0.613600
-1.107708        0.596600        0.596600
-1.076708        0.573000        0.573000
-1.045708        0.558400        0.558400
-1.014708        0.539300        0.539300
-0.983708        0.518700        0.518700
-0.952708        0.502700        0.502700
-0.921708        0.479400        0.479400
-0.890708        0.465100        0.465100
-0.859708        0.448300        0.448300
-0.828708        0.427500        0.427500
-0.797708        0.413300        0.413300
-0.766708        0.395300        0.395300
-0.735708        0.376500        0.376500
-0.704708        0.363000        0.363000
-0.673708        0.344500        0.344500
-0.642708        0.327400        0.327400
-0.611708        0.313000        0.313000
-0.580708        0.292400        0.292400
-0.549708        0.278800        0.278800
-0.518708        0.263800        0.263800
-0.487708        0.243800        0.243800
-0.456708        0.231200        0.231200
-0.425708        0.216100        0.216100
-0.394708        0.195500        0.195500
-0.363708        0.184400        0.184400
-0.332708        0.169200        0.169200
-0.301708        0.147400        0.147400
-0.270708        0.136200        0.136200
-0.239708        0.125000        0.125000
-0.208708        0.101800        0.101800
-0.177708        0.088740        0.088740
-0.146708        0.077740        0.077740
-0.115708        0.048260        0.048260
-0.084708        0.035310        0.035310
-0.053708        0.022350        0.022350
-0.022708        0.009395        0.009395
0.008292        0.003589        0.003590
0.039292        0.016660        0.016660
0.070292        0.029730        0.029730
0.101292        0.042800        0.042800
0.132292        0.073940        0.073940
